title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Peter Barinka	Peter Barinka	Trenčín, Czechoslovakia	1996	2016							Slovak		
Marek Haščák	Marek Haščák	Trenčín, Czechoslovakia	2004	2014	Undrafted						Slovak		
Vladislav Baláž	Vladislav Baláž	Prešov, Czechoslovakia	2004	2014							Slovak		
Robin Kovář	Robin Kovář	Valašské Meziříčí, Czechoslovakia	2001	2020	123rd overall	2002	Edmonton Oilers	National Ice Hockey League	CZE	Milton Keynes Lightning			
Vladimír Škoda	Vladimír Škoda	České Budějovice, &lt;br&gt; Czechoslovakia	2002		Undrafted			Slovak Extraliga		HKm Zvolen	Czech		
Dmitri Levinsky	Dmitri Valerievich Levinsky	Ust-Kamenogorsk, Soviet Union	1999	2015	46th overall	1999	Chicago Blackhawks						
Si Griffis	Silas Seth &quot;Si&quot; Griffis	Onaga, Kansas, U.S.	1901	1919									
Frederic Cloutier	Frédéric Cloutier	, Quebec	2001	2024	Undrafted			Alps Hockey League	ITA	HC Merano	Canadian		
Brett Murray (ice hockey)	Brett Murray	Bolton, Ontario, Canada	2019		99th overall	2016	Buffalo Sabres	National Hockey League		Free Agent	Canadian		
Paul Johnson (ice hockey)	Paul Herbert Johnson	West St. Paul, Minnesota, U.S.											
Alex Gray (ice hockey)	Alexander Haim Gray	Glasgow, Scotland	1921	1933									
Jason Ryznar	Jason R. Ryznar	, Alaska	2005	2010	64th overall	2002	New Jersey Devils		USA		American		
Becky Kellar-Duke	Becky Kellar	, Ontario	1997	2010					CAN				f
Carla MacLeod	Carla Rae MacLeod	Spruce Grove, Canada	2003	2010					CAN		Canadian		f
Cheryl Pounder	Cheryl Pounder	Montreal, Canada	1994	2007				CIS&lt;br /&gt;NWHL	CAN	Laurier Golden Hawks women's ice hockey			f
Colleen Sostorics	Colleen Kay Sostorics	, Saskatchewan	2000	2010				Western Women's Hockey League	CAN	Calgary Oval X-Treme	Canadian		f
Meghan Agosta	Meghan Christina Agosta	Windsor, Ontario, Canada	2006	2024					CAN		Canadian		f
Jennifer Botterill	Jennifer Botterill	Ottawa, Canada	1997	2011					CAN				f
Jayna Hefford	Jayna Hefford	Trenton, Ontario, Canada	1996	2014					CAN		Canadian		f
Gina Kingsbury	Gina Kingsbury	, Saskatchewan	2000	2010				ECAC women's ice hockey	CAN	St. Lawrence Saints women's ice hockey	Canadian		f
Katie Weatherston	Katherine Marie &quot;Katie&quot; Weatherston	, Ontario	2002	2008					CAN		Canadian		f
Delaney Collins	Delaney Collins	, Manitoba	1997	2011					CAN		Canadian		f
Val Fonteyne	Valere Ronald Fonteyne	Wetaskiwin, Canada	1954	1974							Canadian		
Ken Linseman	Kenneth S.	Kingston, Ontario, Canada	1977	1992	7th overall	1978	Philadelphia Flyers		CAN		Canadian		
Michael Henrich	[[American Hockey League|AHL]]	, Ontario	2000	2014	13th overall	1998	Edmonton Oilers				Canadian		
Jiří Dopita	Jiří Dopita	Šumperk, Czechoslovakia	1990	2013	133rd overall, 1992&lt;br&gt; [[Boston Bruins]]&lt;br&gt; 123rd overall	1998	New York Islanders		CZE				
Chris Thorburn	Chris Thorburn	Sault Ste. Marie, Ontario, Canada	2003	2019	50th overall	2001	Buffalo Sabres				Canadian		
Oliver Larsen	Oliver Joakim Larsen	Aalborg, Denmark	2015					Liiga	DEN	KalPa	Danish		
Nick Olesen	Nick Olesen	Frederikshavn, Denmark	2015					Czech Extraliga	DEN	Motor České Budějovice	Danish		
Grégory Tarlé	Grégory Tarlé	Rouen, France	2002	2009							French		
Caroline Baldin	Caroline Baldin	Saint-Martin-d'Hères, France	2009					Switzerland women's ice hockey league	FRA	ZSC Lions	French		f
Louanne Mermier	Louanne Mermier	Sallanches, France	2016					France women's ice hockey league	FRA	Megève HC	French		f
Margot Huot-Marchand	Margot Huot-Marchand	,	2014					Nationella Damhockeyligan	FRA	Rögle BK			f
Eloïse Jure	Eloïse Jure	Saint-Martin-d'Hères, France	2016					France women's ice hockey league	FRA	Brûleurs de Loups	French		f
Jade Vix	Jade Vix	Strasbourg, France	2014						FRA		French		f
Emmanuelle Passard	Emmanuelle Lahouratate-Passard	Bordeaux, France. There are reliable sources for both birthplaces (see connected Wikidata item). One birthplace should not be selected over the other without irrefutable proof. --&gt;	2010					FFHG Féminin Élite	FRA	Jets d’Évry Viry	French		f
Lara Escudero	Lara Escudero	, {{wrap	2011					European Women's Hockey League	FRA	KMH Budapest (women)	French		f
Morgane Rihet	Morgane Rihet	Paris, France	2012					France women's ice hockey league	FRA	SOC Hockey	French		f
Léa Villiot	Léa Villiot	Briançon, France	2014					France women's ice hockey league	FRA	Remparts de Tours	French		f
Estelle Duvin	Estelle Duvin	Coudekerque-Branche, France	2011					Women's League (Switzerland)	FRA	SC Bern Frauen	French		f
Athéna Locatelli	Athéna Locatelli	Bourg-de-Péage, Auvergne-Rhône-Alpes	2008					Auroraliiga	FRA	HIFK Naiset	French		f
Betty Jouanny	Betty Jouanny	Annecy, France	2009					Swedish Women's Hockey League	FRA		French		f
Clara Rozier	Clara Rozier	Évian-les-Bains, Auvergne-Rhône-Alpes	2014					Women's League (Switzerland)	FRA	SC Bern Frauen	French		f
Chloé Aurard-Bushee	Chloé Aurard-Bushee	Saint-Martin-d'Hères, France	2023					Professional Women's Hockey League	FRA	Boston Fleet	French		f
Lore Baudrit	Lore Baudrit	Castres, France	2008					Swedish Women's Hockey League	FRA	Leksands IF (women)	French		f
Margaux Mameri	Margaux Mameri	Clamart, France	2014					FFHG Division 2	FRA	Jets d’Evry-Viry	French		f
Léa Parment	Léa Parment	Villeneuve-Saint-Georges, France	2012					France women's ice hockey league	FRA	Évry-Viry HC	French		f
Gwendoline Gendarme	Gwendoline Gendarme	Rosny-sous-Bois, France	2011					Swedish Women's Hockey League	FRA	Djurgårdens IF Hockey	French		f
Amandine Cuasnet	Amandine Cuasnet	Dunkirk, France	2008					France women's ice hockey league	FRA	Corsaires de Dunkerque	French		f
Raphaëlle Grenier	Raphaëlle Grenier	Orléans, France	2011					Naisten Liiga (ice hockey)	FRA	TPS Naiset	French		f
Caroline Lambert	Caroline Lambert	Villard-de-Lans, France	2013					Switzerland women's ice hockey league	FRA	HT Thurgau&lt;br&gt;EC Wil	French		f
Alexandra Harrison	Alexandra Harrison	,	2017					France women's ice hockey league	FRA	Chamonix HC	French		f
Hugo Gallet	Hugo Gallet	Amiens, France	2018		Undrafted			Liiga	FRA	KalPa	French		
Peter Valier	Peter Valier	Pontoise, France	2009		Undrafted			Ligue Magnus	FRA	Brûleurs de Loups	French		
Guillaume Leclerc	Guillaume Leclerc	Besançon, France	2017		Undrafted			Ligue Magnus	FRA	Brûleurs de Loups	French		
Henri-Corentin Buysse	Henri-Corentin Buysse	Amiens, France	2007		Undrafted			Ligue Magnus	FRA	Gothiques d'Amiens	French		
Sebastian Ylönen	Sebastian Ylönen	Rouen, France	2009		Undrafted			Ligue Magnus	FRA	Jokers de Cergy-Pontoise	French		
Pierre Crinon	Pierre Crinon	Reims, France	2012		Undrafted			Ligue Magnus	FRA	Brûleurs de Loups	French		
Cédric Di Dio Balsamo	Cédric Di Dio Balsamo	Briançon, France	2011		Undrafted			Ligue Magnus	FRA	Ducs d'Angers	French		
Thomas Thiry	Thomas Thiry	Saint-Germain-en-Laye, France	2017					National League (ice hockey)	FRA	HC Ajoie	French		
Stefan Loibl	Stefan Loibl	Straubing, Germany	2013					Deutsche Eishockey Liga	GER	Adler Mannheim	German		
Lean Bergmann	Lean Bergmann	Hemer, Germany	2018		Undrafted			Deutsche Eishockey Liga	GER	Eisbären Berlin	German		
Marc Michaelis	Marc Michaelis	Mannheim, Germany	2018		Undrafted			Deutsche Eishockey Liga	GER	Adler Mannheim	German		
Stephen Lee (ice hockey)	Stephen Lee	Kingston upon Hull, England	2004		Undrafted			EIHL	GBR	Nottingham Panthers	British		
Ben Davies (ice hockey)	Ben Davies	Cardiff, Wales	2007		Undrafted			EIHL	GBR	Cardiff Devils	Welsh		
Matthew Myers (ice hockey)	Matthew Myers	Cardiff, Wales	2001	2024	Undrafted			EIHL	GBR		Welsh		
Brett Perlini	Brett Perlini	Sault Ste. Marie, Ontario, Canada	2012		192nd overall	2010	Anaheim Ducks	EIHL	GBR	Cardiff Devils	National League		
Robert Farmer (ice hockey)	Robert Farmer	Long Eaton, England	2006		Undrafted			National Ice Hockey League	GBR	Whitley Warriors	British		
Joseph Lewis (ice hockey)	Joseph Lewis	Newport, Wales, Wales	2008		Undrafted			DEL2	GBR	ESV Kaufbeuren	British		
Mike Hammond (ice hockey)	Michael Hammond	Brighton, England	2015	2023	Undrafted				GBR				
Paul Swindlehurst	Paul Swindlehurst	Manchester, England	2011	2021	Undrafted				GBR				
Evan Mosey	Evan Mosey	Downers Grove, Illinois, U.S.	2013		Undrafted			EIHL	GBR	Cardiff Devils	American		
Luke Ferrara	Luke Ferrara	Peterborough, England	2009		Undrafted			National Ice Hockey League	GBR	Peterborough Phantoms	British		
Tim Billingsley	Tim Billingsley	Ottawa, Canada	2015		189th overall	2008	Phoenix Coyotes	Elite Ice Hockey League	GBR	Nottingham Panthers			
Ollie Betteridge	Ollie Betteridge	Nottingham, England	2011		Undrafted			EIHL	GBR	Nottingham Panthers	British		
Ben Lake (ice hockey)	Ben Lake	Calgary, Canada	2015		Undrafted			EIHL	GBR	Belfast Giants	Canadian		
Toe Blake	Joseph Hector	, Ontario	1934	1951				National Hockey League					
Joe Mullen	Joseph Patrick Mullen	New York City, U.S.	1979	1997	Undrafted				USA		American		
Frank McGee (ice hockey)	Francis Clarence McGee	Ottawa, Canada	1903	1906									
Phil Housley	Phillip Francis Housley	Saint Paul, Minnesota, U.S.	1982	2003	6th overall	1982	Buffalo Sabres		USA				
Gilbert Perreault	Gilbert Perreault	Victoriaville, Canada&lt;ref name=IHD&gt;{{cite web	1970	1987	1st overall	1970	Buffalo Sabres		Canada		Canadian		
Wade Megan	Wade Megan	Canton, New York, U.S.	2013	2019	138th overall	2009	Florida Panthers				American		
Mike Lappin	Michael Lappin	Chicago, USA	1987	1994	239th	1987	Chicago Blackhawks				American		
Jack Duffy (ice hockey)	Jack Duffy	, Connecticut	1989	1996	[[1991 NHL Supplemental Draft]]		New York Islanders				American		
Larry Olimb	Lawrence Olimb	, Minnesota	1988	1995	193rd	1987	Minnesota North Stars				American		
Luke Hughes (ice hockey)	Luke Hughes	Manchester, New Hampshire, U.S.	2023		4th overall	2021	New Jersey Devils	NHL	USA	New Jersey Devils	American		
Kent Johnson (ice hockey)	Kent Johnson	Port Moody, Canada	2022		5th overall	2021	Columbus Blue Jackets	National Hockey League	CAN	Columbus Blue Jackets	Canadian		
Sebastian Cossa	Sebastian Cossa	, Ontario	2022		15th overall	2021	Detroit Red Wings	National Hockey League		Detroit Red Wings	Canadian		
Isak Rosén	Isak Rosén	Stockholm, Sweden	2020		14th overall	2021	Buffalo Sabres	National Hockey League		Buffalo Sabres	Swedish		
Mackie Samoskevich	Matthew	Sandy Hook, Connecticut, U.S.	2023		24th overall	2021	Florida Panthers	National Hockey League		Florida Panthers	American		
Xavier Bourgault	Xavier Bourgault	, Quebec	2022		22nd overall	2021	Edmonton Oilers	National Hockey League		Ottawa Senators	Canadian		
Dylan Guenther	Dylan Guenther	Edmonton, Canada	2022		9th overall	2021	Arizona Coyotes	National Hockey League	CAN	Utah Mammoth	Canadian		
Matt Coronato	Matthew Coronato	, New York	2023		13th overall	2021	Calgary Flames	National Hockey League	United States	Calgary Flames	American		
Logan Mailloux	Logan Mailloux	Windsor, Ontario, Canada	2023		31st overall	2021	Montreal Canadiens	National Hockey League		St. Louis Blues	Canadian		
Kaj Linna (ice hockey)	Kaj Linna	Helsinki, Finland	1991	1998	183rd overall	1995	Ottawa Senators		Finland		Finnish		
Liam Dower Nilsson	Liam Dower Nilsson	Gothenburg, Sweden	2020		134th overall	2021	Detroit Red Wings	HockeyAllsvenskan		IF Björklöven	Swedish		
Josh Doan	Joshua Thomas Doan	, Arizona	2023		37th overall	2021	Arizona Coyotes	National Hockey League	United States	Buffalo Sabres	American		
Anton Burdasov	Anton Burdasov	Chelyabinsk, Russian Soviet Federative Socialist Republic	2009		Undrafted			Kontinental Hockey League	RUS	Free agent	Russian		
TJ Sakaluk	TJ Sakaluk												
Tim Smith (ice hockey)	Tim Smith	, Alberta	2002	2011	272nd overall	2000	Vancouver Canucks				Canadian		
Mike Lenarduzzi	Mike &quot;Whopper&quot; Lenarduzzi	, Ontario	1992	2000	57th overall	1990	Hartford Whalers				Canadian		
Kent Simpson (ice hockey, born 1975)	Kent Andrew Simpson	, North Vancouver (district municipality)	1998		Undrafted			Oddset Ligaen	Canada	Rødovre Mighty Bulls	Canadian		
Ryan Gunderson	Ryan Gunderson	, Pennsylvania	2007		Undrafted			National League (ice hockey)	United States	HC Fribourg-Gottéron	American		
Victor Hedman	Victor Erik Olof Hedman	Örnsköldsvik, Sweden	2007		2nd overall	2009	Tampa Bay Lightning	National Hockey League	Sweden	Tampa Bay Lightning	Swedish		
Tony Cimellaro	Tony Cimellaro	, Ontario	1992	2000	Undrafted						Canadian		
Vegar Barlie	Vegar Barlie	Asker, Norway	1990	2007	210th overall	1991	Edmonton Oilers		NOR		Norwegian		
Jared DeMichiel	Jared DeMichiel	, Connecticut											
Eliezer Sherbatov	Eliezer &quot;Elie&quot; Alexeevich Sherbatov	Rehovot, Israel	2009		Undrafted				ISR	Jonquière Marquis			
Sergei Shabanov	Sergei Rudolfovich Shabanov	Minsk, Soviet Union	1993	2015					BLR		last=IIHF|title=IIHF Media Guide &amp; Record Book 2011|year=2010 |publisher=Moydart Press |page= 181|isbn= 978-0-9867964-0-1}}&lt;/ref&gt; He also played for Belarus at the [[2002 Winter Olympics		
Alexander Makritski	Alexander Mikhailevich Makritski	Minsk, Belarus	1989	2011				Belarusian Ice Hockey Association		Belarus men's national ice hockey team			
Sergei Drozd	Sergei Nikolaevich Drozd	Minsk, Soviet Union	2008		Undrafted			Belarusian Extraliga	BLR	Yunost Minsk	last=IIHF|title=IIHF Media Guide &amp; Record Book 2011|year=2010 |publisher=Moydart Press |page= 181|isbn= 978-0-9867964-0-1}}&lt;/ref&gt;  He currently plays for [[Yunost Minsk		
Alexander Ryadinsky	Alexander Nikolaevich Ryadinsky	Minsk, Soviet Union	1996	2017					BLR				
Artyom Senkevich	Artyom Sergeyevich Senkevich	Minsk, Byelorussian Soviet Socialist Republic	1998	2017					BLR		Belarusian		
Evgeni Kovyrshin	Evgeni Kovyrshin	Elektrostal, Soviet Union	2004						BLR	Free Agent	Forward		
Kirill Gotovets	Kirill Gotovets	Minsk, Byelorussian Soviet Socialist Republic	2014		183rd overall	2009	Tampa Bay Lightning	Kontinental Hockey League	BLR	HC Dynamo Moscow	Belarusian		
Petr Gřegořek	Petr Gřegořek	Český Těšín, Czechoslovakia	1997	2020	Undrafted				Czech Republic		Czech		
Martin Růžička	Martin Růžička	Beroun, Czechoslovakia	2005		Undrafted			Czech Extraliga	Czech Republic	HC Oceláři Třinec			
Petr Koukal (ice hockey)	Petr Koukal	Žďár nad Sázavou, Czechoslovakia	2001					Czech Extraliga	Czech Republic	HK Hradec Kralove	Czech		
Mads Bødker	Mads Bødker	Copenhagen, Denmark	2006	2016	Undrafted				DNK				
Mads Christensen (ice hockey, born 1984)	Mads Bech Christensen	Frederikshavn, Denmark	2000		Undrafted			Metal Ligaen	Denmark	Frederikshavn White Hawks	Danish		
Jesper Damgaard	Jesper Damgaard	Holstebro, Denmark	1991	2011	undrafted				Denmark		Danish		
Jesper Duus	Jesper Duus	Glostrup, Denmark	1983	2012	241st overall	1987	Edmonton Oilers		Denmark		Danish		
Daniel Nielsen	Daniel Nielsen	Herning, Denmark	1998					Metal Ligaen	Denmark	Herning Blue Fox	Danish		
Thor Dresler	Thor Dresler	Herlev, Denmark	1998	2013					Denmark		Danish		
Morten Green	Morten Green	Hørsholm, Denmark	1996	2018					Denmark		Danish		
Jesper Jensen (ice hockey, born 1987)	Jesper Jensen	Nybro, Sweden	2005					Metal Ligaen	Denmark	Frederikshavn White Hawks	Danish		
Kim Lykkeskov	Kim Lykkeskov	Vojens, Denmark	2001	2017					Denmark		Danish		
Alexander Sundberg	Alexander Sundberg	Copenhagen, Denmark	1998	2011	Undrafted				Denmark		Danish		
Patrick Galbraith (ice hockey)	Patrick Galbraith	Haderslev, Denmark	2006		Undrafted			Metal Ligaen	Denmark	SønderjyskE	Danish		
Teddy Da Costa	Teddy Da Costa	Melun, France	2005					Ligue Magnus	France	Spartiates de Marseille	Polish		
Laurent Gras (ice hockey)	Laurent Gras	Chamonix, France	1994	2015					FRA				
Brian Henderson (ice hockey)	Brian Henderson	Amiens, France	2007					Ligue Magnus	France	Ducs d'Angers			
Loïc Lampérier	Loïc Lampérier	Mont-Saint-Aignan, France	2007					Ligue Magnus	France	Dragons de Rouen			
Anthoine Lussier	Anthoine Lussier	,	1999						France				
Laurent Meunier	Laurent Meunier	Saint-Martin-d'Hères, France	1997	2019					FRA		French		
Erwan Pain	Erwan Pain	Pointe-à-Pitre, Guadeloupe	2004	2018					France		French		
Damien Raux	Damien Raux	Rouen, France	2001					Ligue Magnus	France	Scorpions de Mulhouse	French		
Luc Tardif Jr.	Luc Tardif Jr.	Rouen, France	2001	2016					FRA		French		
Eddy Ferhi	Eddy Ferhi	Charenton-le-Pont, France	2003						France		French		
Fabrice Lhenry	Fabrice Lhenry	Lyon, France	1992	2015					FRA		French		
Florian Hardy	Florian Hardy	Nantes, France	2005					Ligue Magnus	France	Ducs d'Angers	French		
Baptiste Amar	Baptiste Amar	, Hautes-Alpes	1997	2014					FRA		French		
Yohann Auvitu	Yohann Auvitu	Ivry-sur-Seine, France	2006		Undrafted			National League (ice hockey)	FRA	free agent	French		
Vincent Bachet	Vincent Bachet	Saint-Maurice-le-Girard, France	1996	2014					France				
Nicolas Besch	Nicolas Besch	Le Havre, France	2001					Ligue Magnus	France	Boxers de Bordeaux			
Kévin Igier	Kévin Igier	Paris, France	2005	2023					France		French		
Antonin Manavian	Antonin Manavian	Paris, France	2004		Undrafted			Ligue Magnus	France	Brûleurs de Loups	French		
Benoît Quessandier	Benoît Quessandier	Mont-Saint-Aignan, Mont-Saint-Aignan	2002	2018					France				
Thomas Roussel	Thomas Roussel	Amiens, France	2015	2020					France		French		
Chris Carrozzi	Chris Carrozzi	Nepean, Ontario, Canada	2010	2019	154th overall	2008	Atlanta Thrashers				Canadian		
Harrie van Heumen	Harrie van Heumen	Nijmegen, Netherlands	1978						NED				
Terry O'Reilly	24	, Ontario	1971	1985	14th overall	1971	Boston Bruins						
Mikko Koivu	Mikko-Sakari Koivu	Turku, Finland	2000	2021	6th overall	2001	Minnesota Wild		FIN		Finnish		
Scott Mellanby	Scott Edgar Mellanby	Montreal, Canada	1986	2007	27th overall	1984	Philadelphia Flyers	National Hockey League	&lt;!--Senior caps only--&gt;		Canadian		
Luke Richardson	Luke Glen Richardson	Ottawa, Canada	1987	2008	7th overall	1987	Toronto Maple Leafs		CAN				
Juha Hietanen	Juha Hietanen	Helsinki, Finland	1973	1987							Finnish		
Martin Kučera (ice hockey)	Martin Kučera	Bratislava, Czechoslovakia	1996	2009					&lt;!-- Senior level only --&gt;		Slovak		
Gerry Mayhew (ice hockey)	Gerald Alfano Mayhew	Wyandotte, Michigan, U.S.	2017		Undrafted			American Hockey League		Iowa Wild	American		
Oleg Yeremeyev	Oleg Yeremeyev	, Oskemen	1996	2014					KAZ		Kazakhstani		
Samuel Buček	Samuel Buček	Nitra, Slovakia	2017		Undrafted			Slovak Extraliga	SVK	HK Nitra	Slovak		
Robert Pospíšil	Robert Pospíšil	Pardubice, Czechoslovakia	1996	2016							Czech		
Scott Gomez	Scott Carlos Gomez	, Alaska	1999	2016	27th overall	1998	New Jersey Devils		USA		American		
Glen Sather	Glen Cameron Sather		1966	1976							Canadian		
John Henrion	John Henrion	Worcester, Massachusetts, U.S.	2013		Undrafted			HockeyAllsvenskan		AIK IF	American		
Joe Ironstone	Joseph Kelly Ironstone	, Greater Sudbury	1921	1936									
Harry Manson (ice hockey)	Howard &quot;Harry&quot; Manson	Mille Roches, Ontario, Canada	1906	1912				Federal Amateur Hockey League					
Colton Sissons	Colton Sissons	, North Vancouver (city)	2013		50th overall	2012	Nashville Predators	National Hockey League		Vegas Golden Knights	Canadian		
Evelina Samuelsson	Evelina Louise Samuelsson	Märsta, Sweden							SWE		title=Evelina Samuelsson | url=http://www.sok.se/5.1017605f109c54f7865800024598.html | publisher=[[Swedish Olympic Committee		f
Rob Laurie	Rob Laurie	East Lansing, Michigan	1992	2002	''Undrafted''						American		
